COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
San Diego,2015–2016,Age groups,65+ years,7,(4.1–9.9),,
San Francisco,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2015–2016,Age groups,65+ years,9.9,(0.9–19.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Mateo,2015–2016,Age groups,65+ years,13.1,(0.9–25.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Age groups,65+ years,6.6,(0.7–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Age groups,65+ years,8.3,(2.6–14.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2015–2016,Age groups,65+ years,22.4,(6.4–38.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Sierra,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Age groups,65+ years,18.1,(2.5–33.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2015–2016,Age groups,65+ years,6.4,(0.3–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2015–2016,Age groups,65+ years,20.6,(5.3–35.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2015–2016,Age groups,65+ years,13.2,(3.7–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Age groups,65+ years,13.8,(5.5–22.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2015–2016,Age groups,65+ years,9.8,(3.5–16.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Total population,All ages,8.8,(8.2–9.4),,
Alameda,2017–2018,Total population,All ages,8.8,(5.3–12.2),,
Alpine,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2017–2018,Total population,All ages,11,(4.1–17.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Total population,All ages,11.8,(7.9–15.7),,
Del Norte,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2017–2018,Total population,All ages,6.7,(1.6–11.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Total population,All ages,13.3,(7.9–18.7),,
Glenn,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Total population,All ages,11.6,(4.1–19.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2017–2018,Total population,All ages,11.4,(3.0–19.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2017–2018,Total population,All ages,9.9,(5.4–14.5),,
Kings,2017–2018,Total population,All ages,10.3,(4.1–16.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2017–2018,Total population,All ages,9.6,(3.8–15.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2017–2018,Total population,All ages,7.9,(6.5–9.4),,
Madera,2017–2018,Total population,All ages,11.8,(3.6–20.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2017–2018,Total population,All ages,6.4,(2.2–10.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2017–2018,Total population,All ages,5.3,(1.2–9.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Total population,All ages,9.8,(2.6–17.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2017–2018,Total population,All ages,5.3,(2.5–8.2),,
Napa,2017–2018,Total population,All ages,13.8,(3.4–24.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Total population,All ages,9.4,(2.3–16.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Total population,All ages,5.7,(3.1–8.3),,
Placer,2017–2018,Total population,All ages,7.9,(3.4–12.4),,
Plumas,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2017–2018,Total population,All ages,9.1,(6.5–11.7),,
Sacramento,2017–2018,Total population,All ages,11.4,(7.9–14.9),,
San Benito,2017–2018,Total population,All ages,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Total population,All ages,9.6,(6.1–13.1),,
San Diego,2017–2018,Total population,All ages,8.5,(7.0–10.1),,
San Francisco,2017–2018,Total population,All ages,6.8,(3.3–10.4),,
San Joaquin,2017–2018,Total population,All ages,12.6,(6.8–18.4),,
San Luis Obispo,2017–2018,Total population,All ages,5.4,(2.2–8.6),,
San Mateo,2017–2018,Total population,All ages,9.5,(4.7–14.2),,
Santa Barbara,2017–2018,Total population,All ages,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Total population,All ages,9.5,(6.5–12.4),,
Santa Cruz,2017–2018,Total population,All ages,8.3,(4.6–12.1),,
Shasta,2017–2018,Total population,All ages,6.9,(3.0–10.8),,
Sierra,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2017–2018,Total population,All ages,12.5,(6.1–18.9),,
Sonoma,2017–2018,Total population,All ages,12.1,(5.5–18.6),,
Stanislaus,2017–2018,Total population,All ages,8.1,(3.3–12.9),,
Sutter,2017–2018,Total population,All ages,16,(7.6–24.4),,
Tehama,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2017–2018,Total population,All ages,9.5,(2.3–16.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2017–2018,Total population,All ages,6.6,(3.8–9.5),,
Yolo,2017–2018,Total population,All ages,11.3,(4.2–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2017–2018,Total population,All ages,13.8,(6.8–20.8),,
California,2017–2018,Child vs. adult,0–17 years,8,(6.4–9.6),,
Alameda,2017–2018,Child vs. adult,0–17 years,9.5,(1.5–17.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Glenn,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Lake,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Child vs. adult,0–17 years,7.4,(4.2–10.5),,
Madera,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Placer,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Child vs. adult,0–17 years,10.6,(3.4–17.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2017–2018,Child vs. adult,0–17 years,6.1,(0.2–12.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Diego,2017–2018,Child vs. adult,0–17 years,6.7,(2.6–10.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Francisco,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Child vs. adult,0–17 years,12.1,(2.6–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Child vs. adult,18+ years,9.1,(8.4–9.7),,
Alameda,2017–2018,Child vs. adult,18+ years,8.6,(5.5–11.6),,
Alpine,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2017–2018,Child vs. adult,18+ years,12.9,(6.3–19.5),,
Calaveras,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2017–2018,Child vs. adult,18+ years,14.8,(6.6–23.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Child vs. adult,18+ years,13.5,(9.1–17.8),,
Del Norte,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2017–2018,Child vs. adult,18+ years,9,(1.8–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Child vs. adult,18+ years,13.1,(8.3–17.9),,
Glenn,2017–2018,Child vs. adult,18+ years,14.8,(6.6–23.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Child vs. adult,18+ years,9.5,(4.6–14.4),,
Imperial,2017–2018,Child vs. adult,18+ years,12.9,(5.4–20.4),,
Inyo,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2017–2018,Child vs. adult,18+ years,10.4,(6.0–14.7),,
Kings,2017–2018,Child vs. adult,18+ years,8.6,(3.8–13.4),,
Lake,2017–2018,Child vs. adult,18+ years,11.2,(4.1–18.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2017–2018,Child vs. adult,18+ years,8.1,(6.4–9.8),,
Madera,2017–2018,Child vs. adult,18+ years,12.8,(7.2–18.4),,
Marin,2017–2018,Child vs. adult,18+ years,8.3,(2.8–13.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2017–2018,Child vs. adult,18+ years,6.5,(1.3–11.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Child vs. adult,18+ years,10.6,(5.2–16.1),,
Modoc,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2017–2018,Child vs. adult,18+ years,7.1,(3.0–11.1),,
Napa,2017–2018,Child vs. adult,18+ years,16.1,(5.2–27.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Child vs. adult,18+ years,10.9,(2.7–19.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Child vs. adult,18+ years,5.8,(4.0–7.7),,
Placer,2017–2018,Child vs. adult,18+ years,6.9,(3.1–10.8),,
Plumas,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2017–2018,Child vs. adult,18+ years,8.5,(6.2–10.9),,
Sacramento,2017–2018,Child vs. adult,18+ years,13.1,(9.1–17.1),,
San Benito,2017–2018,Child vs. adult,18+ years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Child vs. adult,18+ years,9,(6.5–11.5),,
San Diego,2017–2018,Child vs. adult,18+ years,9.1,(7.4–10.9),,
San Francisco,2017–2018,Child vs. adult,18+ years,7.7,(3.3–12.0),,
San Joaquin,2017–2018,Child vs. adult,18+ years,12.3,(4.9–19.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2017–2018,Child vs. adult,18+ years,6.4,(2.5–10.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2017–2018,Child vs. adult,18+ years,8.1,(3.5–12.7),,
Santa Barbara,2017–2018,Child vs. adult,18+ years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Child vs. adult,18+ years,8.6,(5.8–11.5),,
Santa Cruz,2017–2018,Child vs. adult,18+ years,11,(5.8–16.2),,
Shasta,2017–2018,Child vs. adult,18+ years,7.5,(3.3–11.7),,
Sierra,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2017–2018,Child vs. adult,18+ years,12.4,(6.3–18.4),,
Sonoma,2017–2018,Child vs. adult,18+ years,12.4,(4.8–20.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Child vs. adult,18+ years,10.7,(4.3–17.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2017–2018,Child vs. adult,18+ years,19.7,(10.9–28.5),,
Tehama,2017–2018,Child vs. adult,18+ years,14.8,(6.6–23.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Child vs. adult,18+ years,13.9,(4.9–22.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2017–2018,Child vs. adult,18+ years,8,(3.2–12.7),,
Tuolumne,2017–2018,Child vs. adult,18+ years,17.6,(6.7–28.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2017–2018,Child vs. adult,18+ years,5.9,(3.1–8.7),,
Yolo,2017–2018,Child vs. adult,18+ years,14.3,(4.9–23.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2017–2018,Child vs. adult,18+ years,15.9,(8.1–23.7),,
California,2017–2018,Age groups,0–4 years,4.1,(2.2–5.9),,
Alameda,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Alpine,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Glenn,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
